Annual Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Glob,N.Hemi,S.Hemi,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2015,  0.113,  0.189,  0.038,  0.145,  0.233, -0.078, -0.366,  0.346,  0.182,  0.254,  0.212,  0.108, -0.111, -0.570
2016,  0.315,  0.402,  0.228,  0.475,  0.372,  0.079,  1.186,  0.307,  0.349,  0.292,  0.452,  0.066, -0.024,  0.323
2017,  0.208,  0.253,  0.164,  0.291,  0.167,  0.180,  0.253,  0.270,  0.317,  0.196,  0.138,  0.198,  0.194,  0.099
2018,  0.100,  0.097,  0.103,  0.131,  0.019,  0.177,  0.134, -0.016,  0.228,  0.046, -0.008,  0.142,  0.103,  0.434
2019,  0.327,  0.366,  0.288,  0.409,  0.336,  0.232,  0.773,  0.446,  0.263,  0.302,  0.370,  0.267,  0.008,  0.578
2020,  0.271,  0.411,  0.131,  0.559,  0.190,  0.092,  0.761,  0.748,  0.367,  0.190,  0.190, -0.019,  0.125,  0.359
2021,  0.088,  0.191, -0.014,  0.316, -0.037,  0.028, -0.040,  0.308,  0.441,  0.004, -0.078,  0.057,  0.037, -0.079
2022, -0.022,  0.059, -0.104,  0.236, -0.253,  0.026,  0.218,  0.228,  0.247, -0.207, -0.298, -0.048,  0.005,  0.289
2023,  0.210,  0.300,  0.119,  0.351,  0.165,  0.128,  0.268,  0.488,  0.288,  0.224,  0.106,  0.084,  0.088,  0.340
2024,  0.235,  0.373,  0.097,  0.435,  0.269, -0.009,  0.406,  0.559,  0.361,  0.281,  0.257, -0.091,  0.035,  0.148
2025, -0.058,  0.059, -0.174,  0.203, -0.159, -0.183,  0.794,  0.291, -0.052, -0.157, -0.160, -0.278, -0.431,  0.593
Annual Temperature Anomalies (deg C) AIRS v7 vs. 2007-2016
Year,Glob,N.Hemi,S.Hemi,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2003,  0.031, -0.122,  0.183, -0.318,  0.189,  0.168, -0.970, -0.030, -0.292,  0.171,  0.206, -0.013,  0.385,  0.277
2004, -0.066, -0.146,  0.014, -0.288,  0.019,  0.042, -1.365, -0.047, -0.089,  0.067, -0.028, -0.005,  0.174, -0.081
2005,  0.073,  0.040,  0.105, -0.002,  0.111,  0.096, -0.170,  0.301, -0.148,  0.104,  0.118, -0.086,  0.145,  0.543
2006, -0.032, -0.038, -0.026, -0.048, -0.068,  0.032, -0.211,  0.039, -0.051, -0.022, -0.113, -0.038,  0.074,  0.161
2007, -0.029, -0.016, -0.042,  0.055, -0.118,  0.006,  0.095,  0.200, -0.055, -0.121, -0.114, -0.108, -0.021,  0.404
2008, -0.171, -0.212, -0.129, -0.167, -0.247, -0.073, -0.529,  0.004, -0.161, -0.279, -0.214, -0.058,  0.026, -0.314
2009, -0.061, -0.195,  0.074, -0.357,  0.032,  0.113, -0.712, -0.511, -0.136,  0.047,  0.016,  0.002,  0.176,  0.319
2010, -0.001,  0.038, -0.040,  0.001,  0.038, -0.055,  0.205, -0.054, -0.030,  0.093, -0.018, -0.088,  0.151, -0.365
2011, -0.090, -0.125, -0.056, -0.078, -0.260,  0.125,  0.194, -0.100, -0.154, -0.195, -0.326, -0.017,  0.164,  0.470
2012, -0.063, -0.076, -0.050, -0.031, -0.097, -0.051,  0.320, -0.163, -0.059, -0.144, -0.049, -0.046, -0.005, -0.156
2013, -0.054, -0.123,  0.014, -0.141, -0.061,  0.041, -0.534, -0.113, -0.029, -0.096, -0.026,  0.028,  0.022,  0.122
2014,  0.043,  0.064,  0.023,  0.026,  0.072,  0.022, -0.136,  0.056,  0.060,  0.121,  0.024,  0.125, -0.042, -0.160
2015,  0.130,  0.239,  0.022,  0.203,  0.274, -0.134, -0.203,  0.406,  0.204,  0.292,  0.257,  0.133, -0.307, -0.591
2016,  0.295,  0.406,  0.183,  0.489,  0.367,  0.005,  1.301,  0.275,  0.360,  0.283,  0.451,  0.028, -0.164,  0.272
2017,  0.176,  0.241,  0.110,  0.291,  0.141,  0.107,  0.296,  0.256,  0.312,  0.166,  0.116,  0.167,  0.014,  0.113
2018,  0.069,  0.085,  0.053,  0.115,  0.016,  0.094,  0.198, -0.069,  0.210,  0.040, -0.009,  0.135, -0.122,  0.403
2019,  0.259,  0.312,  0.206,  0.347,  0.307,  0.107,  0.698,  0.388,  0.204,  0.258,  0.355,  0.250, -0.297,  0.486
2020,  0.266,  0.433,  0.100,  0.589,  0.196,  0.037,  0.835,  0.733,  0.412,  0.198,  0.194,  0.013, -0.099,  0.383
2021,  0.117,  0.226,  0.009,  0.317,  0.056, -0.001, -0.197,  0.277,  0.515,  0.090,  0.022,  0.106, -0.156, -0.011
2022,  0.144,  0.260,  0.028,  0.423, -0.025,  0.090,  0.345,  0.401,  0.464,  0.015, -0.065,  0.063, -0.025,  0.402
2023,  0.401,  0.497,  0.306,  0.534,  0.416,  0.249,  0.323,  0.686,  0.503,  0.442,  0.390,  0.242,  0.139,  0.493
2024,  0.406,  0.569,  0.244,  0.636,  0.461,  0.103,  0.514,  0.738,  0.609,  0.467,  0.455,  0.059,  0.066,  0.308
2025,  0.156,  0.311,  0.001,  0.514,  0.029, -0.032,  1.013,  0.616,  0.279,  0.006,  0.051, -0.036, -0.356,  0.629
Annual Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Glob,N.Hemi,S.Hemi,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2003, -0.102, -0.144, -0.060, -0.233,  0.008, -0.118, -0.559, -0.100, -0.214, -0.011,  0.027, -0.180,  0.058, -0.286
2004, -0.184, -0.233, -0.136, -0.348, -0.080, -0.159, -1.593, -0.129, -0.088, -0.060, -0.101, -0.143,  0.050, -0.688
2005, -0.040, -0.035, -0.045, -0.059, -0.009, -0.063, -0.072,  0.143, -0.183,  0.000, -0.018, -0.132,  0.004,  0.025
2006, -0.078, -0.072, -0.085, -0.083, -0.072, -0.082, -0.302, -0.022, -0.055, -0.054, -0.090, -0.110,  0.013, -0.200
2007, -0.053, -0.040, -0.065,  0.049, -0.167, -0.003,  0.026,  0.237, -0.063, -0.175, -0.158, -0.125, -0.110,  0.638
2008, -0.175, -0.211, -0.139, -0.160, -0.255, -0.083, -0.530, -0.007, -0.138, -0.288, -0.222, -0.097, -0.094, -0.007
2009, -0.061, -0.168,  0.045, -0.297,  0.047,  0.030, -0.637, -0.479, -0.072,  0.026,  0.068, -0.022, -0.033,  0.343
2010,  0.006,  0.009,  0.003, -0.047,  0.051, -0.001,  0.181, -0.213, -0.017,  0.094,  0.008,  0.010,  0.024, -0.108
2011, -0.110, -0.150, -0.070, -0.092, -0.263,  0.077,  0.265, -0.145, -0.174, -0.236, -0.290,  0.019,  0.008,  0.447
2012, -0.072, -0.086, -0.059, -0.046, -0.107, -0.053,  0.070, -0.156, -0.014, -0.145, -0.068, -0.061,  0.020, -0.189
2013, -0.041, -0.092,  0.011, -0.128, -0.050,  0.059, -0.524, -0.039, -0.060, -0.038, -0.063,  0.004,  0.056,  0.231
2014,  0.031,  0.031,  0.031,  0.005,  0.041,  0.044, -0.006,  0.058, -0.023,  0.071,  0.010,  0.101,  0.015, -0.088
2015,  0.180,  0.290,  0.070,  0.244,  0.327, -0.081, -0.039,  0.396,  0.242,  0.358,  0.296,  0.123,  0.017, -0.989
2016,  0.295,  0.416,  0.174,  0.471,  0.377,  0.010,  1.193,  0.349,  0.318,  0.334,  0.419,  0.047,  0.098, -0.279
2017,  0.199,  0.282,  0.116,  0.312,  0.176,  0.117,  0.447,  0.296,  0.282,  0.238,  0.115,  0.136,  0.197, -0.126
2018,  0.133,  0.152,  0.114,  0.177,  0.048,  0.203,  0.105,  0.010,  0.305,  0.114, -0.018,  0.168,  0.231,  0.268
2019,  0.262,  0.327,  0.197,  0.355,  0.267,  0.161,  0.713,  0.347,  0.246,  0.285,  0.250,  0.116,  0.233,  0.158
2020,  0.289,  0.455,  0.123,  0.588,  0.218,  0.084,  0.798,  0.723,  0.438,  0.255,  0.181, -0.035,  0.218,  0.203
2021,  0.130,  0.254,  0.007,  0.356,  0.022,  0.050,  0.011,  0.276,  0.515,  0.102, -0.059,  0.104,  0.154, -0.352
2022,  0.176,  0.273,  0.079,  0.448, -0.066,  0.225,  0.297,  0.414,  0.519,  0.009, -0.140,  0.165,  0.227,  0.432
2023,  0.454,  0.607,  0.301,  0.705,  0.432,  0.234,  0.514,  0.781,  0.717,  0.461,  0.403,  0.281,  0.280, -0.027
2024,  0.563,  0.765,  0.361,  0.879,  0.555,  0.257,  0.839,  0.867,  0.901,  0.594,  0.516,  0.259,  0.364,  0.022
2025,  0.474,  0.599,  0.349,  0.842,  0.222,  0.441,  0.939,  0.903,  0.776,  0.233,  0.211,  0.342,  0.375,  0.924
